# OSU MPI Bi-Directional Bandwidth Test v5.9
# Size      Bandwidth (MB/s)
1                       0.18
2                       0.37
4                       0.74
8                       1.48
16                      2.98
32                      5.95
64                     11.84
128                    23.04
256                    46.01
512                    90.91
1024                  179.43
2048                  340.01
4096                  629.69
8192                 1093.23
16384                1632.79
32768                2412.87
65536                1609.19
131072               2266.64
262144               2760.22
524288               2993.63
1048576              2908.66
2097152              2909.21
4194304              2496.20
